Method,Accuracy,Sensitivity,Specificity,AUC
Gradient Descent,0.8781512605042017,0.9047619047619048,0.8482142857142857,0.8764880952380952
Genetic Algorithm,0.8823529411764706,0.8571428571428571,0.9107142857142857,0.8839285714285714
Simulated Annealing,0.7983193277310925,0.8253968253968254,0.7678571428571429,0.7966269841269841
Randomized Hill Climbing,0.7689075630252101,0.8571428571428571,0.6696428571428571,0.7633928571428572
